white,elo_white,black,elo_black,result,opening,cadence,date,tournament,city
ASSAUBAYEVA Bibisara,2488,MUZYCHUK Anna,2515,X - X,Alekhine Defense,classical,2020-04-21,World Cup,Baku
KEYMER Vincent,2733,FRESSINET Laurent,2605,X - X,French Defense,blitz,2020-02-24,World Blitz Championship,Dubai
GUKESH D,2783,NIEMANN Hans Moke,2734,1 - 0,King's Indian Defense,classical,2020-03-04,Tata Steel,Wijk aan Zee
PRAGGNANANDHAA R,2737,GORYACHKINA Aleksandra,2528,X - X,Pirc Defense,classical,2020-04-27,Candidates,Madrid
VACHIER-LAGRAVE Maxime,2737,KRAMNIK Vladimir,2810,0 - 1,Petrov Defense,classical,2020-06-22,Isle of Man Open,Douglas
POLGAR Judith,2732,HEJAZIPOUR Mitra,2309,1 - 0,Semi-Slav Defense,classical,2020-03-02,Isle of Man Open,Douglas
KOSTENIUK Alexandra,2487,GUKESH D,2783,X - X,Larsen Opening,classical,2020-04-15,Sinquefield Cup,Saint Louis
SO Wesley,2747,FRESSINET Laurent,2605,1 - 0,Grunfeld Defense,classical,2020-07-04,Tata Steel,Wijk aan Zee
LEI Tingjie,2549,ZHU Jiner,2514,X - X,Reti Opening,classical,2020-08-08,Tata Steel,Wijk aan Zee
SEBAG Marie,2448,DUDA Jan-Krzysztof,2740,X - X,Petrov Defense,classical,2020-03-26,Candidates,Madrid
CARLSEN Magnus,2831,KONERU Humpy,2530,0 - 1,French Defense,classical,2020-07-31,Candidates,Madrid
VACHIER-LAGRAVE Maxime,2737,LE Quang Liem,2739,1 - 0,Italian Game,blitz,2020-01-08,Titled Tuesday,NA
IGLESIAS Yosha,2296,ANAND Viswanathan,2750,1 - 0,English Opening,classical,2020-10-27,Tata Steel,Wijk aan Zee
FRESSINET Laurent,2605,ASSAUBAYEVA Bibisara,2488,X - X,Petrov Defense,classical,2020-08-11,Tata Steel,Wijk aan Zee
MAMEDYAROV Shakhriyar,2738,SAVINA Anastasia,2324,X - X,Queen's Gambit Accepted,classical,2020-08-13,Sinquefield Cup,Saint Louis
GUKESH D,2783,JU Wenjun,2563,1 - 0,King's Indian Defense,classical,2020-03-18,Candidates,Madrid
TAN Zhongyi,2551,GIRI Anish,2733,X - X,Nimzo-Indian Defense,blitz,2020-12-28,World Blitz Championship,Dubai
KOSTENIUK Alexandra,2487,PRAGGNANANDHAA R,2737,X - X,Scandinavian Defense,rapid,2020-10-07,Grand Chess Tour Croatia,Zagreb
MUZYCHUK Anna,2515,KOSTENIUK Alexandra,2487,X - X,King's Indian Defense,rapid,2020-06-06,Grand Chess Tour Croatia,Zagreb
MUZYCHUK Anna,2515,TAN Zhongyi,2551,1 - 0,Sicilian Defense,classical,2020-06-27,Tata Steel,Wijk aan Zee
HEJAZIPOUR Mitra,2309,SAVINA Anastasia,2324,X - X,Larsen Opening,rapid,2020-01-05,World Rapid Championship,Samarkand
KONERU Humpy,2530,VACHIER-LAGRAVE Maxime,2737,1 - 0,Queen's Gambit Accepted,classical,2020-09-09,Sinquefield Cup,Saint Louis
MILLIET Sophie,2366,IGLESIAS Yosha,2296,X - X,Sicilian Defense,classical,2020-01-20,Norway Chess,Stavanger
POLGAR Judith,2732,NAVROTESCU Andreea,2338,1 - 0,French Defense,blitz,2020-02-12,Titled Tuesday,NA
IGLESIAS Yosha,2296,MUZYCHUK Anna,2515,X - X,King's Indian Defense,rapid,2020-10-18,Grand Chess Tour Croatia,Zagreb
GUICHARD Pauline,2357,KASHLINSKAYA Alina,2493,X - X,Ruy Lopez,classical,2020-10-24,Candidates,Madrid
GUICHARD Pauline,2357,ANAND Viswanathan,2750,1 - 0,Grunfeld Defense,rapid,2020-04-11,Grand Chess Tour Croatia,Zagreb
DOMINGUEZ PEREZ Leinier,2741,FRESSINET Laurent,2605,X - X,Catalan Opening,rapid,2020-09-29,Grand Chess Tour Croatia,Zagreb
KRAMNIK Vladimir,2810,ARONIAN Levon,2739,X - X,Scandinavian Defense,blitz,2020-06-26,Titled Tuesday,NA
ASSAUBAYEVA Bibisara,2488,DOMINGUEZ PEREZ Leinier,2741,X - X,Caro-Kann Defense,blitz,2020-11-26,World Blitz Championship,Dubai
TAN Zhongyi,2551,PRAGGNANANDHAA R,2737,1 - 0,Caro-Kann Defense,classical,2020-05-10,Candidates,Madrid
ERIGAISI Arjun,2799,GIRI Anish,2733,1 - 0,Larsen Opening,rapid,2020-09-30,Grand Chess Tour Croatia,Zagreb
KRAMNIK Vladimir,2810,KASPAROV Garry,2850,1 - 0,French Defense,classical,2020-06-29,Isle of Man Open,Douglas
DOMINGUEZ PEREZ Leinier,2741,ERIGAISI Arjun,2799,0 - 1,London System,rapid,2020-04-17,Grand Chess Tour Croatia,Zagreb
KEYMER Vincent,2733,GUICHARD Pauline,2357,1 - 0,Dutch Defense,classical,2020-09-16,Candidates,Madrid
DAULYTE-CORNETTE Deimante,2371,GIRI Anish,2733,0 - 1,Reti Opening,classical,2020-08-13,Candidates,Madrid
ASSAUBAYEVA Bibisara,2488,ABDUSATTOROV Nodirbek,2777,1 - 0,King's Indian Defense,rapid,2020-07-27,Grand Chess Tour Croatia,Zagreb
DRONAVALLI Harika,2493,POLGAR Judith,2732,0 - 1,Caro-Kann Defense,classical,2020-12-09,Sinquefield Cup,Saint Louis
TAN Zhongyi,2551,ASSAUBAYEVA Bibisara,2488,1 - 0,London System,classical,2020-08-23,Tata Steel,Wijk aan Zee
LE Quang Liem,2739,KASHLINSKAYA Alina,2493,0 - 1,Petrov Defense,blitz,2020-02-01,World Blitz Championship,Dubai
JU Wenjun,2563,SHUVALOVA Polina,2495,X - X,French Defense,classical,2020-10-23,Norway Chess,Stavanger
GUICHARD Pauline,2357,VACHIER-LAGRAVE Maxime,2737,0 - 1,French Defense,classical,2020-10-26,Candidates,Madrid
NIEMANN Hans Moke,2734,HOU Yifan,2633,X - X,Caro-Kann Defense,rapid,2020-01-17,Grand Chess Tour Croatia,Zagreb
ANAND Viswanathan,2750,KASHLINSKAYA Alina,2493,X - X,Nimzo-Indian Defense,classical,2020-03-12,Norway Chess,Stavanger
HOU Yifan,2633,ERIGAISI Arjun,2799,X - X,London System,classical,2020-03-02,Candidates,Madrid
MAMEDYAROV Shakhriyar,2738,GUKESH D,2783,1 - 0,English Opening,blitz,2020-11-06,Titled Tuesday,NA
DOMINGUEZ PEREZ Leinier,2741,NAVROTESCU Andreea,2338,0 - 1,Grunfeld Defense,rapid,2020-08-09,Grand Chess Tour Croatia,Zagreb
PRAGGNANANDHAA R,2737,DRONAVALLI Harika,2493,0 - 1,Reti Opening,blitz,2020-10-06,World Blitz Championship,Dubai
NIEMANN Hans Moke,2734,LAGNO Kateryna,2527,X - X,Vienna Game,classical,2020-03-04,Tata Steel,Wijk aan Zee
CARUANA Fabiano,2805,GIRI Anish,2733,1 - 0,Queen's Gambit Accepted,blitz,2020-03-24,Titled Tuesday,NA
LAGNO Kateryna,2527,KONERU Humpy,2530,X - X,Petrov Defense,classical,2020-10-06,World Cup,Baku
MOUSSARD Jules,2600,BACROT Etienne,2653,X - X,Catalan Opening,classical,2020-03-26,Candidates,Madrid
GUKESH D,2783,HEJAZIPOUR Mitra,2309,X - X,Larsen Opening,blitz,2020-01-04,World Blitz Championship,Dubai
NEPOMNIACHTCHI Ian,2755,CARUANA Fabiano,2805,1 - 0,Larsen Opening,classical,2020-11-06,World Cup,Baku
IGLESIAS Yosha,2296,NIEMANN Hans Moke,2734,X - X,Ruy Lopez,rapid,2020-09-14,Grand Chess Tour Croatia,Zagreb
IGLESIAS Yosha,2296,KASHLINSKAYA Alina,2493,X - X,Caro-Kann Defense,rapid,2020-04-07,Grand Chess Tour Croatia,Zagreb
DRONAVALLI Harika,2493,LAGNO Kateryna,2527,1 - 0,Grunfeld Defense,classical,2020-07-14,Sinquefield Cup,Saint Louis
MILLIET Sophie,2366,ANAND Viswanathan,2750,X - X,Alekhine Defense,classical,2020-06-01,Isle of Man Open,Douglas
NIEMANN Hans Moke,2734,KRAMNIK Vladimir,2810,X - X,Scotch Game,classical,2020-11-07,Sinquefield Cup,Saint Louis
HOU Yifan,2633,ZHU Jiner,2514,1 - 0,Petrov Defense,blitz,2020-07-30,World Blitz Championship,Dubai
POLGAR Judith,2732,ANAND Viswanathan,2750,1 - 0,Petrov Defense,classical,2020-05-15,Sinquefield Cup,Saint Louis
NAKAMURA Hikaru,2802,FIROUZJA Alireza,2763,X - X,Larsen Opening,classical,2020-10-16,Tata Steel,Wijk aan Zee
MUZYCHUK Mariya,2505,SAVINA Anastasia,2324,0 - 1,King's Indian Defense,classical,2020-03-19,Sinquefield Cup,Saint Louis
FRESSINET Laurent,2605,TAN Zhongyi,2551,1 - 0,Vienna Game,rapid,2020-08-02,World Rapid Championship,Samarkand
ASSAUBAYEVA Bibisara,2488,NIEMANN Hans Moke,2734,0 - 1,Ruy Lopez,rapid,2020-01-12,Grand Chess Tour Croatia,Zagreb
DRONAVALLI Harika,2493,TAN Zhongyi,2551,1 - 0,Pirc Defense,classical,2020-06-15,Candidates,Madrid
LAGNO Kateryna,2527,DING Liren,2728,1 - 0,Italian Game,rapid,2020-09-30,Grand Chess Tour Croatia,Zagreb
VACHIER-LAGRAVE Maxime,2737,IGLESIAS Yosha,2296,1 - 0,French Defense,classical,2020-09-20,Norway Chess,Stavanger
VACHIER-LAGRAVE Maxime,2737,LE Quang Liem,2739,0 - 1,English Opening,classical,2020-04-22,Tata Steel,Wijk aan Zee
TAN Zhongyi,2551,ANAND Viswanathan,2750,X - X,Queen's Gambit Accepted,rapid,2020-09-27,Grand Chess Tour Croatia,Zagreb
SO Wesley,2747,SCHIPPKE Manon,2272,1 - 0,Sicilian Defense,classical,2020-08-13,Isle of Man Open,Douglas
BACROT Etienne,2653,KONERU Humpy,2530,1 - 0,Catalan Opening,rapid,2020-01-27,Grand Chess Tour Croatia,Zagreb
FIROUZJA Alireza,2763,ZHU Jiner,2514,1 - 0,Alekhine Defense,blitz,2020-10-15,Titled Tuesday,NA
MUZYCHUK Mariya,2505,POLGAR Judith,2732,1 - 0,Sicilian Defense,rapid,2020-03-12,Grand Chess Tour Croatia,Zagreb
KONERU Humpy,2530,DUDA Jan-Krzysztof,2740,X - X,Catalan Opening,rapid,2020-11-10,Grand Chess Tour Croatia,Zagreb
LAGNO Kateryna,2527,KONERU Humpy,2530,X - X,Pirc Defense,blitz,2020-09-20,Titled Tuesday,NA
VACHIER-LAGRAVE Maxime,2737,HOU Yifan,2633,1 - 0,Italian Game,rapid,2020-03-04,World Rapid Championship,Samarkand
DUDA Jan-Krzysztof,2740,ZHU Jiner,2514,X - X,Sicilian Defense,blitz,2020-07-30,World Blitz Championship,Dubai
FRESSINET Laurent,2605,HOU Yifan,2633,X - X,French Defense,rapid,2020-09-27,Grand Chess Tour Croatia,Zagreb
ARONIAN Levon,2739,MILLIET Sophie,2366,1 - 0,Larsen Opening,classical,2020-05-25,Candidates,Madrid
KASPAROV Garry,2850,SAVINA Anastasia,2324,X - X,Berlin Defense,rapid,2020-10-28,Grand Chess Tour Croatia,Zagreb
MUZYCHUK Anna,2515,DUDA Jan-Krzysztof,2740,X - X,Grunfeld Defense,classical,2020-06-29,Candidates,Madrid
VACHIER-LAGRAVE Maxime,2737,KRAMNIK Vladimir,2810,0 - 1,Italian Game,classical,2020-09-20,Candidates,Madrid
SHUVALOVA Polina,2495,VAISHALI Rameshbabu,2490,X - X,Sicilian Defense,rapid,2020-09-27,Grand Chess Tour Croatia,Zagreb
NEPOMNIACHTCHI Ian,2755,NAVROTESCU Andreea,2338,X - X,London System,classical,2020-09-25,Candidates,Madrid
DUDA Jan-Krzysztof,2740,SO Wesley,2747,1 - 0,English Opening,classical,2020-04-22,Norway Chess,Stavanger
SAVINA Anastasia,2324,NEPOMNIACHTCHI Ian,2755,0 - 1,Scandinavian Defense,blitz,2020-01-22,Titled Tuesday,NA
ABDUSATTOROV Nodirbek,2777,PRAGGNANANDHAA R,2737,X - X,Reti Opening,rapid,2020-12-02,World Rapid Championship,Samarkand
NIEMANN Hans Moke,2734,JU Wenjun,2563,X - X,French Defense,rapid,2020-08-19,Grand Chess Tour Croatia,Zagreb
DRONAVALLI Harika,2493,KASPAROV Garry,2850,1 - 0,King's Indian Defense,classical,2020-05-01,Candidates,Madrid
MUZYCHUK Mariya,2505,FRESSINET Laurent,2605,0 - 1,Sicilian Defense,classical,2020-01-03,Tata Steel,Wijk aan Zee
GIRI Anish,2733,PRAGGNANANDHAA R,2737,X - X,Alekhine Defense,rapid,2020-07-05,World Rapid Championship,Samarkand
ZHU Jiner,2514,DRONAVALLI Harika,2493,X - X,Petrov Defense,classical,2020-09-09,Isle of Man Open,Douglas
VACHIER-LAGRAVE Maxime,2737,ABDUSATTOROV Nodirbek,2777,X - X,Nimzo-Indian Defense,classical,2020-06-07,Candidates,Madrid
KEYMER Vincent,2733,POLGAR Judith,2732,0 - 1,Caro-Kann Defense,blitz,2020-05-01,Titled Tuesday,NA
GIRI Anish,2733,KRAMNIK Vladimir,2810,1 - 0,Pirc Defense,rapid,2020-12-23,Grand Chess Tour Croatia,Zagreb
LEI Tingjie,2549,KOSTENIUK Alexandra,2487,1 - 0,Scandinavian Defense,rapid,2020-12-31,Grand Chess Tour Croatia,Zagreb
MUZYCHUK Anna,2515,SAVINA Anastasia,2324,X - X,Berlin Defense,classical,2020-04-07,Isle of Man Open,Douglas
NEPOMNIACHTCHI Ian,2755,SCHIPPKE Manon,2272,X - X,French Defense,rapid,2020-05-19,Grand Chess Tour Croatia,Zagreb
ASSAUBAYEVA Bibisara,2488,LE Quang Liem,2739,X - X,French Defense,classical,2020-07-19,Sinquefield Cup,Saint Louis
SCHIPPKE Manon,2272,DAULYTE-CORNETTE Deimante,2371,1 - 0,Ruy Lopez,classical,2020-05-05,Tata Steel,Wijk aan Zee
HEJAZIPOUR Mitra,2309,GUKESH D,2783,1 - 0,French Defense,classical,2020-03-18,World Cup,Baku
LAGNO Kateryna,2527,GUKESH D,2783,1 - 0,Dutch Defense,classical,2020-03-18,Candidates,Madrid
ANAND Viswanathan,2750,ASSAUBAYEVA Bibisara,2488,X - X,Pirc Defense,rapid,2020-08-15,World Rapid Championship,Samarkand
SEBAG Marie,2448,GUICHARD Pauline,2357,1 - 0,Grunfeld Defense,classical,2020-07-15,Norway Chess,Stavanger
ASSAUBAYEVA Bibisara,2488,VACHIER-LAGRAVE Maxime,2737,X - X,Dutch Defense,classical,2020-08-28,Sinquefield Cup,Saint Louis
KONERU Humpy,2530,WEI Yi,2753,1 - 0,Alekhine Defense,classical,2020-08-05,Tata Steel,Wijk aan Zee
KEYMER Vincent,2733,HOU Yifan,2633,0 - 1,Scotch Game,classical,2020-01-19,Norway Chess,Stavanger
ERIGAISI Arjun,2799,TAN Zhongyi,2551,0 - 1,Ruy Lopez,rapid,2020-09-03,Grand Chess Tour Croatia,Zagreb
GORYACHKINA Aleksandra,2528,KONERU Humpy,2530,1 - 0,Grunfeld Defense,classical,2020-07-28,Sinquefield Cup,Saint Louis
BACROT Etienne,2653,SHUVALOVA Polina,2495,1 - 0,Semi-Slav Defense,classical,2020-03-14,Sinquefield Cup,Saint Louis
DZAGNIDZE Nana,2518,KASHLINSKAYA Alina,2493,0 - 1,French Defense,classical,2020-08-18,Sinquefield Cup,Saint Louis
LEI Tingjie,2549,VACHIER-LAGRAVE Maxime,2737,X - X,Alekhine Defense,blitz,2020-06-18,World Blitz Championship,Dubai
SCHIPPKE Manon,2272,JU Wenjun,2563,1 - 0,Semi-Slav Defense,rapid,2020-06-08,Grand Chess Tour Croatia,Zagreb
VAISHALI Rameshbabu,2490,HEJAZIPOUR Mitra,2309,1 - 0,Alekhine Defense,classical,2020-07-18,World Cup,Baku
ARONIAN Levon,2739,NAVROTESCU Andreea,2338,1 - 0,Caro-Kann Defense,rapid,2020-07-14,Grand Chess Tour Croatia,Zagreb
LAGNO Kateryna,2527,NAKAMURA Hikaru,2802,0 - 1,Queen's Gambit Accepted,classical,2020-10-18,Tata Steel,Wijk aan Zee
VACHIER-LAGRAVE Maxime,2737,LAGARDE Maxime,2606,X - X,French Defense,rapid,2020-12-02,World Rapid Championship,Samarkand
HOU Yifan,2633,TAN Zhongyi,2551,1 - 0,Scotch Game,classical,2020-07-09,Sinquefield Cup,Saint Louis
PRAGGNANANDHAA R,2737,KRAMNIK Vladimir,2810,1 - 0,English Opening,rapid,2020-09-15,Grand Chess Tour Croatia,Zagreb
SHUVALOVA Polina,2495,MUZYCHUK Anna,2515,0 - 1,Reti Opening,classical,2020-09-06,Candidates,Madrid
POLGAR Judith,2732,DZAGNIDZE Nana,2518,X - X,French Defense,classical,2020-11-16,Sinquefield Cup,Saint Louis
MUZYCHUK Mariya,2505,SCHIPPKE Manon,2272,0 - 1,Pirc Defense,rapid,2020-02-01,Grand Chess Tour Croatia,Zagreb
GORYACHKINA Aleksandra,2528,DZAGNIDZE Nana,2518,X - X,Catalan Opening,classical,2020-04-24,Candidates,Madrid
KOSTENIUK Alexandra,2487,MAMEDYAROV Shakhriyar,2738,1 - 0,Vienna Game,rapid,2020-06-20,Grand Chess Tour Croatia,Zagreb
KONERU Humpy,2530,FRESSINET Laurent,2605,X - X,English Opening,rapid,2020-10-19,Grand Chess Tour Croatia,Zagreb
HOU Yifan,2633,WEI Yi,2753,1 - 0,Sicilian Defense,classical,2020-05-04,Norway Chess,Stavanger
ERIGAISI Arjun,2799,WEI Yi,2753,0 - 1,Alekhine Defense,rapid,2020-12-20,Grand Chess Tour Croatia,Zagreb
MOUSSARD Jules,2600,KONERU Humpy,2530,X - X,Grunfeld Defense,rapid,2020-06-12,Grand Chess Tour Croatia,Zagreb
KONERU Humpy,2530,MUZYCHUK Anna,2515,X - X,Pirc Defense,classical,2020-01-16,Tata Steel,Wijk aan Zee
LEI Tingjie,2549,DUDA Jan-Krzysztof,2740,X - X,London System,classical,2020-03-04,Sinquefield Cup,Saint Louis
NEPOMNIACHTCHI Ian,2755,DRONAVALLI Harika,2493,0 - 1,Pirc Defense,classical,2020-08-15,Isle of Man Open,Douglas
SAVINA Anastasia,2324,LAGARDE Maxime,2606,0 - 1,Nimzo-Indian Defense,blitz,2020-11-01,Titled Tuesday,NA
CARUANA Fabiano,2805,GUKESH D,2783,X - X,Ruy Lopez,classical,2020-05-28,Isle of Man Open,Douglas
MAMEDYAROV Shakhriyar,2738,WEI Yi,2753,1 - 0,Caro-Kann Defense,rapid,2020-01-05,Grand Chess Tour Croatia,Zagreb
FRESSINET Laurent,2605,GUKESH D,2783,X - X,London System,classical,2020-05-14,Candidates,Madrid
HEJAZIPOUR Mitra,2309,DING Liren,2728,0 - 1,King's Indian Defense,rapid,2020-08-12,Grand Chess Tour Croatia,Zagreb
LE Quang Liem,2739,LAGNO Kateryna,2527,X - X,Catalan Opening,classical,2020-01-02,World Cup,Baku
WEI Yi,2753,GUICHARD Pauline,2357,X - X,London System,classical,2020-03-20,Tata Steel,Wijk aan Zee
SO Wesley,2747,SCHIPPKE Manon,2272,1 - 0,Ruy Lopez,rapid,2020-11-08,World Rapid Championship,Samarkand
VAISHALI Rameshbabu,2490,GUICHARD Pauline,2357,X - X,English Opening,classical,2020-06-19,Candidates,Madrid
TAN Zhongyi,2551,KASHLINSKAYA Alina,2493,1 - 0,Ruy Lopez,classical,2020-06-28,Candidates,Madrid
KOSTENIUK Alexandra,2487,POLGAR Judith,2732,X - X,London System,classical,2020-05-31,Sinquefield Cup,Saint Louis
KASHLINSKAYA Alina,2493,ASSAUBAYEVA Bibisara,2488,1 - 0,London System,classical,2020-03-24,Tata Steel,Wijk aan Zee
LE Quang Liem,2739,LEI Tingjie,2549,X - X,Catalan Opening,classical,2020-02-01,World Cup,Baku
NEPOMNIACHTCHI Ian,2755,HEJAZIPOUR Mitra,2309,X - X,French Defense,classical,2020-09-29,Candidates,Madrid
SHUVALOVA Polina,2495,NEPOMNIACHTCHI Ian,2755,X - X,Scotch Game,classical,2020-07-27,Sinquefield Cup,Saint Louis
DAULYTE-CORNETTE Deimante,2371,PRAGGNANANDHAA R,2737,1 - 0,Alekhine Defense,classical,2020-11-23,Isle of Man Open,Douglas
MUZYCHUK Mariya,2505,ANAND Viswanathan,2750,1 - 0,French Defense,rapid,2020-02-26,Grand Chess Tour Croatia,Zagreb
NAVROTESCU Andreea,2338,SKRIPCHENKO Almira,2361,1 - 0,Pirc Defense,classical,2020-12-16,Isle of Man Open,Douglas
DAULYTE-CORNETTE Deimante,2371,VIDIT Santosh Gujrathi,2739,X - X,English Opening,classical,2020-03-25,Norway Chess,Stavanger
KEYMER Vincent,2733,VACHIER-LAGRAVE Maxime,2737,1 - 0,French Defense,classical,2020-04-25,Tata Steel,Wijk aan Zee
IGLESIAS Yosha,2296,HEJAZIPOUR Mitra,2309,X - X,Caro-Kann Defense,classical,2020-04-01,Norway Chess,Stavanger
MILLIET Sophie,2366,FIROUZJA Alireza,2763,0 - 1,Vienna Game,rapid,2020-10-24,Grand Chess Tour Croatia,Zagreb
LAGNO Kateryna,2527,DZAGNIDZE Nana,2518,0 - 1,Alekhine Defense,rapid,2020-04-26,Grand Chess Tour Croatia,Zagreb
KRAMNIK Vladimir,2810,ERIGAISI Arjun,2799,0 - 1,French Defense,blitz,2020-10-07,Titled Tuesday,NA
DZAGNIDZE Nana,2518,VAISHALI Rameshbabu,2490,X - X,Queen's Gambit Accepted,classical,2020-08-14,Candidates,Madrid
GUICHARD Pauline,2357,VACHIER-LAGRAVE Maxime,2737,1 - 0,Pirc Defense,classical,2020-03-25,World Cup,Baku
POLGAR Judith,2732,ARONIAN Levon,2739,X - X,Scandinavian Defense,classical,2020-07-20,Candidates,Madrid
KEYMER Vincent,2733,POLGAR Judith,2732,1 - 0,Pirc Defense,blitz,2020-10-04,Titled Tuesday,NA
SO Wesley,2747,SHUVALOVA Polina,2495,X - X,English Opening,blitz,2020-03-31,Titled Tuesday,NA
PRAGGNANANDHAA R,2737,ASSAUBAYEVA Bibisara,2488,0 - 1,Ruy Lopez,classical,2020-03-20,Sinquefield Cup,Saint Louis
FRESSINET Laurent,2605,SEBAG Marie,2448,1 - 0,Vienna Game,rapid,2020-04-01,Grand Chess Tour Croatia,Zagreb
FRESSINET Laurent,2605,LEI Tingjie,2549,1 - 0,Reti Opening,rapid,2020-08-29,Grand Chess Tour Croatia,Zagreb
KEYMER Vincent,2733,HEJAZIPOUR Mitra,2309,0 - 1,Italian Game,classical,2020-10-29,Candidates,Madrid
ERIGAISI Arjun,2799,MUZYCHUK Mariya,2505,0 - 1,Queen's Gambit Accepted,classical,2020-11-22,Candidates,Madrid
NAVROTESCU Andreea,2338,CARLSEN Magnus,2831,1 - 0,Petrov Defense,classical,2020-12-28,Sinquefield Cup,Saint Louis
KASHLINSKAYA Alina,2493,GIRI Anish,2733,0 - 1,Alekhine Defense,blitz,2020-03-21,World Blitz Championship,Dubai
SAVINA Anastasia,2324,JU Wenjun,2563,X - X,Italian Game,blitz,2020-07-06,Titled Tuesday,NA
SKRIPCHENKO Almira,2361,POLGAR Judith,2732,1 - 0,Italian Game,blitz,2020-06-24,World Blitz Championship,Dubai
GUICHARD Pauline,2357,NEPOMNIACHTCHI Ian,2755,X - X,Catalan Opening,classical,2020-05-20,World Cup,Baku
ERIGAISI Arjun,2799,TAN Zhongyi,2551,X - X,Pirc Defense,rapid,2020-11-05,Grand Chess Tour Croatia,Zagreb
FRESSINET Laurent,2605,SCHIPPKE Manon,2272,1 - 0,French Defense,classical,2020-06-14,Candidates,Madrid
SO Wesley,2747,MAMEDYAROV Shakhriyar,2738,1 - 0,Pirc Defense,rapid,2020-08-22,Grand Chess Tour Croatia,Zagreb
JU Wenjun,2563,NEPOMNIACHTCHI Ian,2755,X - X,Dutch Defense,classical,2020-08-02,Candidates,Madrid
NIEMANN Hans Moke,2734,POLGAR Judith,2732,X - X,Caro-Kann Defense,classical,2020-01-03,Candidates,Madrid
DOMINGUEZ PEREZ Leinier,2741,LAGARDE Maxime,2606,1 - 0,Dutch Defense,classical,2020-12-01,Sinquefield Cup,Saint Louis
NIEMANN Hans Moke,2734,ABDUSATTOROV Nodirbek,2777,X - X,Petrov Defense,classical,2020-06-10,Candidates,Madrid
DAULYTE-CORNETTE Deimante,2371,KONERU Humpy,2530,1 - 0,Ruy Lopez,blitz,2020-05-03,Titled Tuesday,NA
PRAGGNANANDHAA R,2737,KOSTENIUK Alexandra,2487,X - X,Petrov Defense,rapid,2020-06-15,World Rapid Championship,Samarkand
KOSTENIUK Alexandra,2487,KONERU Humpy,2530,0 - 1,Berlin Defense,rapid,2020-01-21,Grand Chess Tour Croatia,Zagreb
DAULYTE-CORNETTE Deimante,2371,VACHIER-LAGRAVE Maxime,2737,0 - 1,French Defense,classical,2020-11-25,Tata Steel,Wijk aan Zee
LAGARDE Maxime,2606,SEBAG Marie,2448,1 - 0,Reti Opening,classical,2020-08-13,Norway Chess,Stavanger
GIRI Anish,2733,VACHIER-LAGRAVE Maxime,2737,X - X,Grunfeld Defense,rapid,2020-04-04,Grand Chess Tour Croatia,Zagreb
CARUANA Fabiano,2805,MUZYCHUK Mariya,2505,X - X,Scotch Game,rapid,2020-12-04,World Rapid Championship,Samarkand
PRAGGNANANDHAA R,2737,JU Wenjun,2563,0 - 1,Grunfeld Defense,rapid,2020-01-06,Grand Chess Tour Croatia,Zagreb
ARONIAN Levon,2739,NEPOMNIACHTCHI Ian,2755,X - X,Nimzo-Indian Defense,classical,2020-03-12,Candidates,Madrid
